City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Kavieng,PG,84.24,light rain,-2.5744,150.7967,Nusa Island Retreat
225,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
227,Pundaguitan,PH,83.23,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
231,Matara,LK,81.3,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
236,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
240,Cap Malheureux,MU,81.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
243,Port-Gentil,GA,78.35,overcast clouds,-0.7193,8.7815,Fengshui Residence
244,New Norfolk,AU,73.99,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
252,Mehnagar,IN,75.2,haze,25.8833,83.1167,Shiv kripa sweets
254,Carutapera,BR,74.97,broken clouds,-1.195,-46.02,Lidera
262,Antsohihy,MG,70.5,clear sky,-14.8796,47.9875,Hotel de Ville
265,Ligayan,PH,83.16,overcast clouds,4.6533,119.4706,NaN
266,Sao Felix Do Xingu,BR,70.99,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
267,Alofi,NU,77.0,moderate rain,-19.0595,-169.9187,Taloa Heights
270,Sorong,ID,82.47,overcast clouds,-0.8833,131.25,The Waigo Hotel
271,Amapa,BR,71.64,light rain,1.0,-52.0,NaN
279,Port Pirie,AU,80.6,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
288,Port Lincoln,AU,76.35,clear sky,-34.7333,135.8667,Port Lincoln Hotel
292,Tokonou,GN,74.77,scattered clouds,9.65,-9.7833,NaN
295,Sao Gabriel Da Cachoeira,BR,73.47,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
296,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
299,Khandbari,NP,76.73,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
300,Pirajui,BR,73.99,clear sky,-21.9986,-49.4572,Pirajuí Plaza Hotel
302,Ikom,NG,73.18,overcast clouds,5.9667,8.7063,Reho Farm & Resort
307,Tabou,CI,76.82,overcast clouds,4.423,-7.3528,hotêl doufoulougou
308,Hualmay,PE,71.37,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
309,Batticaloa,LK,82.08,broken clouds,7.7102,81.6924,Grand Star Guest House
315,Simbahan,PH,84.02,overcast clouds,6.3032,120.5836,NaN
320,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
321,Farafangana,MG,74.89,broken clouds,-22.8167,47.8333,Miarina
323,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
324,Abu Dhabi,AE,73.4,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
326,Ngunguru,NZ,72.0,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
329,Puerto Carreno,CO,82.49,broken clouds,6.189,-67.4859,Casa Hotel Victoria
330,Banda Aceh,ID,84.76,light rain,5.5577,95.3222,Sulthan Hotel International
