City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Abu Dhabi,AE,24.4667,54.3667,73.4,64,0,6.91,clear sky
325,Szprotawa,PL,51.5656,15.5366,32.0,77,97,7.0,light snow
326,Ngunguru,NZ,-35.6167,174.5,72.0,49,100,4.0,overcast clouds
327,Daru,PG,-9.0763,143.2092,86.56,70,68,5.82,broken clouds
328,Tweed,CA,44.4751,-77.3162,37.4,56,1,3.87,clear sky
329,Puerto Carreno,CO,6.189,-67.4859,82.49,47,64,9.93,broken clouds
330,Banda Aceh,ID,5.5577,95.3222,84.76,69,60,8.63,light rain
331,Llangefni,GB,53.2556,-4.3106,46.99,93,75,5.75,broken clouds
332,Launceston,AU,-41.45,147.1667,73.99,40,66,14.97,broken clouds
333,Anadyr,RU,64.75,177.4833,-5.8,77,0,13.42,clear sky
334,Saint-Pierre,RE,-21.3393,55.4781,77.0,78,0,4.61,clear sky
335,Riacho De Santana,BR,-13.6092,-42.9389,69.57,75,5,8.63,clear sky
336,Codrington,AU,-38.2667,141.9667,65.98,82,100,8.63,overcast clouds
337,Telimele,GN,10.9167,-13.3333,63.59,78,94,0.96,overcast clouds
338,Klyuchi,RU,52.2667,79.1667,34.72,81,99,18.34,overcast clouds
339,Rapid Valley,US,44.0625,-103.1463,53.6,66,1,11.5,clear sky
340,Alekseyevka,RU,50.6309,38.6903,29.97,96,99,8.41,snow
341,Moussoro,TD,13.6408,16.4901,83.55,25,16,9.26,few clouds
342,Nisia Floresta,BR,-6.0911,-35.2086,78.8,83,40,6.91,scattered clouds
343,Medea,DZ,36.2642,2.7539,51.8,66,40,10.36,scattered clouds
344,Ust-Karsk,RU,52.7011,118.8077,25.59,70,4,4.9,clear sky
345,Aasiaat,GL,68.7098,-52.8699,11.57,95,94,9.84,overcast clouds
346,Port Macquarie,AU,-31.4333,152.9167,71.6,88,90,17.27,light rain
347,Taltal,CL,-25.4,-70.4833,65.44,78,0,4.76,clear sky
